,Unnamed: 0,Event name,Event date,Country,City,Address,Website,IATA,distances,Distance to next city (km),Distance to next city (miles),Duration to next city
0,0,START,2024-03-26,Italy,Roma,Fiumicino,'','','',695,431,7h : 11 min
1,0,DAY TRIP,2024-03-27,France,Nice,Nice,'','','',327,203,3h : 28 min
2,0,Nanowar Of Steel at Le Secret Place ,2024-03-28, France,Montpellier,Montpellier,https://www.songkick.com/concerts/41623697-nanowar-of-steel-at-le-secret-place?utm_source=60345&utm_medium=partner,"['MPL', 'MRS', 'TLN']","[10, 111, 193]",236,146,2h : 22 min
3,1,"Les Tambours du Bronx with Psykup, Klone, and Nanowar Of Steel at Le Bikini ",2024-03-29, France,Ramonville St Agne,Toulouse,https://www.songkick.com/concerts/41146439-les-tambours-du-bronx-at-le-bikini?utm_source=60345&utm_medium=partner,"['TLS', 'PUF', 'MPL']","[12, 154, 199]",536,333,5h : 05 min
4,2,"Les Tambours du Bronx with Psykup, Klone, and Nanowar Of Steel at Le Transbordeur ",2024-03-30, France,Villeurbanne,Lyon,https://www.songkick.com/concerts/41146444-les-tambours-du-bronx-at-le-transbordeur?utm_source=60345&utm_medium=partner,"['LYS', 'GNB', 'CMF']","[18, 59, 80]",469,291,4h : 33 min
5,3,"Les Tambours du Bronx with Psykup, Klone, and Nanowar Of Steel at Le Trianon ",2024-03-31, France,Paris,Paris,https://www.songkick.com/concerts/41146445-les-tambours-du-bronx-at-le-trianon?utm_source=60345&utm_medium=partner,"['CDG', 'BVA', 'LIL']","[21, 65, 195]",251,155,2h : 47 min
6,4,Nanowar Of Steel at DVG Club ,2024-04-01, Belgium,Kortrijk,Kortrijk,https://www.songkick.com/concerts/41623698-nanowar-of-steel-at-dvg-club?utm_source=60345&utm_medium=partner,"['LIL', 'BRU', 'CRL']","[31, 85, 93]",315,195,4h : 11 min
7,5,Nanowar Of Steel at O2 Academy Islington ,2024-04-02, UK,London,London,https://www.songkick.com/concerts/41623708-nanowar-of-steel-at-o2-academy-islington?utm_source=60345&utm_medium=partner,"['LTN', 'LGW', 'STN']","[42, 42, 45]",190,118,2h : 22 min
8,6,Nanowar Of Steel at O2 Academy 3 Birmingham ,2024-04-03, UK,Birmingham,Birmingham,https://www.songkick.com/concerts/41623709-nanowar-of-steel-at-o2-academy-3-birmingham?utm_source=60345&utm_medium=partner,"['LPL', 'LTN', 'DSA']","[115, 123, 126]",830,515,8h : 24 min
9,0,DAY TRIP,2024-03-27,France,Metz,Metz,'','','',1205,748,12h : 09 min
10,0,DAY TRIP,2024-03-27,France,Roma,Fiumicino,'','','',0,0,0
