Artist Name,Venue*,Country*,Address,City*,Region*,Postal Code,Timezone*,Start Date* (yyyy-mm-dd),Start Time* (HH:MM),End Date,End Time,Streaming Link,Ticket Link,Ticket Type,Ticket Link 2,Ticket Type 2,On-Sale Date,On-Sale Time,Lineup,Event Name,Event Display Format,Description,Schedule Date,Schedule Time,Do Not Announce,Setlist,Event Image,Event Id,Status
Nanowar Of Steel,The Sylvee,United States,25 S Livingston St,Madison,United States,53703,,2025-06-06,19:00,,,,https://ticketmaster.evyy.net/c/219208/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2F2day-pass-mad-with-power-fest-madison-wisconsin-06-06-2025%2Fevent%2F07006237C48A357D%3Futm_content%3Dhotevent&utm_medium=affiliate,collections,,,,,,Mad With Power Fest 2025,Event Name,,,,N,,,106370893,PUBLISHED
Nanowar Of Steel,Circo Volador,Mexico,Calzada de la Viga 146,Ciudad de México,,15800,,2025-06-08,19:00,,,,https://arema.mx/e/14582,tickets,,,,,,Nanowar en Mexico,Event Name,"
¡México, prepárate!
Por primera vez en la historia de la humanidad, llegan los weyes italianos del reguetón noruego —sí, leíste bien— ¡a reventarla en tu país!

No seas gárgola de sofá: el 8 de junio tienes una cita con el único show metalero donde vas a perrear mientras headbangeas.",,,N,,https://photos.bandsintown.com/large/21357264.jpeg,106849379,PUBLISHED
Nanowar Of Steel,Pepper Disco Club,Costa Rica,San José Province,Zapote,San José Province,11801,,2025-06-10,19:00,,,,https://www.digiticket.shop/,tickets,,,,,,Nanowar of Steel en Costa Rica,Event Name,"¡Costa Rica, agárrate!
Por primera vez en tu pura vida, aterrizan los weyes italianos del reguetón noruego —sí, eso existe y viene con todo— ¡a romperla en San José!",,,N,,https://photos.bandsintown.com/large/21357272.jpeg,106849384,PUBLISHED
Nanowar Of Steel,Relevent Music Hall,Colombia,Cra. 9a #60 27,Bogotá,Cundinamarca,110231,,2025-06-11,19:00,,,,https://biciq.com/info-event/nanowar-of-steel-9fdce59b,tickets,,,,,,Nanowar of Steel en Colombia,Event Name,"¡Bogotá, esto no es un simulacro!
Llegan por primera vez los weyes italianos del reguetón noruego —una mezcla tan rara como deliciosa— a desatar el caos musical en Colombia. 🇨🇴🔥

El 11 de junio, nos vemos en Relevent Hall para el único ritual donde vas a perrear con devil horns arriba y hacer mosh con sabor latino. 🤘💃🔥",,,N,,https://photos.bandsintown.com/large/21357284.jpeg,106849387,PUBLISHED
Nanowar Of Steel,Rock & Guitarras,Chile,Vicuña Mackenna 1220,Ñuñoa,Región Metropolitana,,,2025-06-12,19:00,,,,https://coloso.net/event/nanowar-of-steel/,tickets,,,,,,Nanowar of Steel en Chile,Event Name,"¡Santiago, esto va a estar más prendido que parrilla en septiembre!
Por primera vez en Chile, llegan los weyes italianos del reguetón noruego —un apocalipsis sabroso que nadie pidió, pero todos necesitamos. 🇨🇱🔥

El 12 de junio, en Club RBX, prepárate para el único show donde vas a perrear con actitud metalera y hacer mosh con ritmo caribeño.",,,N,,https://photos.bandsintown.com/large/21357304.jpeg,106849397,PUBLISHED
Nanowar Of Steel,Auditorio Ruta de la Plata,Spain,,Zamora,Castille and Le?n,49001,,2025-06-14,19:00,,,,,,,,,,,Z! Live Rock Fest 2025,Event Name,,,,N,,https://photos.bandsintown.com/large/18685266.jpeg,106370890,PUBLISHED
Nanowar Of Steel,Circolo Magnolia,Italy,Via Circonvallazione Idroscalo 41,Segrate,,20090,,2025-06-21,19:30,,,,https://www.ticketone.it/tickets.html?affiliate=IZX&fun=evdetail&doc=evdetailb&key=3816574$19724464&utm_source=IZX&utm_medium=dp&utm_campaign=awin%26awc=!!!awc!!!,collections,,,,,Nanowar Of Steel,,Venue Name,,,,N,,,1034104781,PUBLISHED
Nanowar Of Steel,Venus beach,Romania,,Mangalia,,,,2025-06-28,19:00,2025-06-29,19:00,,https://odysseafestival.com/bilete/,tickets,,,,,,Odyssea Festival,Event Name,,,,N,,,106771785,PUBLISHED
Nanowar Of Steel,Ippodromo Capannelle,Italy,Via Appia Nuova 1245,Roma,RM,178,Europe/Vienna,2025-07-10,22:00,,,,https://www.ticketone.it/tickets.html?affiliate=IZX&fun=evdetail&doc=evdetailb&key=3816574$19723336&utm_source=IZX&utm_medium=dp&utm_campaign=awin%26awc=!!!awc!!!,collections,,,,,Nanowar Of Steel,,Venue Name,,2025-01-23,15:00,N,,https://photos.bandsintown.com/large/19853212.jpeg,1034087475,PUBLISHED
Nanowar Of Steel,Saint maurice de gourdans,France,01800 Saint-Maurice-de-Gourdans,Saint-Maurice-de-Gourdans,Auvergne-Rhône-Alpes,1800,,2025-08-01,19:00,2025-08-02,19:00,,https://sylak.seetickets.com/promoter/sylak-open-air/5640,tickets,,,,,,Syklak Open Air,Event Name,,,,N,,,106771774,PUBLISHED
