,Artist Name,Venue*,Country*,Address,City*,Region*,Postal Code,Timezone,Start Date* (yyyy-mm-dd),Start Time* (HH:MM),End Date,End Time,Streaming Link,Ticket Link,Ticket Type,Ticket Link 2,Ticket Type 2,On-Sale Date,On-Sale Time,Lineup,Event Name,Event Display Format,Description,Schedule Date,Schedule Time,Do Not Announce,Setlist,Event Image
0,,Ateneika 2024, Italy,Cagliari,Cagliari, Italy,,,2024-06-04,17:00,,,,https://www.songkick.com/festivals/2419009-ateneika/id/41948352-ateneika-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
1,,Into The Grave 2024, Netherlands,Leeuwarden,Leeuwarden, Netherlands,,,2024-06-07,17:00,,,,https://www.songkick.com/festivals/670854-into-the-grave/id/41591078-into-the-grave-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
2,,Etna Comics 2024, Italy,Catania,Catania, Italy,,,2024-06-07,17:00,,,,https://www.songkick.com/festivals/1870489-etna-comics/id/41948320-etna-comics-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
3,,Nanowar Of Steel at Live Music Hall , Germany,Cologne,Cologne, Germany,,,2024-06-11,17:00,,,,https://www.songkick.com/concerts/41956848-nanowar-of-steel-at-live-music-hall?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
4,,Nanowar Of Steel at Fabrik Coesfeld , Germany,Coesfeld,Coesfeld, Germany,,,2024-06-12,17:00,,,,https://www.songkick.com/concerts/41956849-nanowar-of-steel-at-fabrik-coesfeld?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
5,,Nanowar Of Steel at Alte Feuerwache , Germany,Mannheim,Mannheim, Germany,,,2024-06-13,17:00,,,,https://www.songkick.com/concerts/41956852-nanowar-of-steel-at-alte-feuerwache?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
6,,Lowland Fest 2024, Hungary,Szeged,Hódmezővásárhely, Hungary,,,2024-06-26,17:00,,,,https://www.songkick.com/festivals/3409902-lowland-fest/id/41595416-lowland-fest-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
7,,Basinfire fest 2024, Czech Republic,Pilsen,Spalene Porici, Czech Republic,,,2024-06-27,17:00,,,,https://www.songkick.com/festivals/1027133-basinfire-fest/id/41823106-basinfire-fest-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
8,,Festival Rock Pod Kameňom 2024, Slovakia,Snina,Snina, Slovakia,,,2024-06-29,17:00,,,,https://www.songkick.com/festivals/664519-rock-pod-kamenom/id/41642406-festival-rock-pod-kameom-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
9,,Nanowar Of Steel at Garage Saarbrücken , Germany,Saarbrücken,Saarbrücken, Germany,,,2024-07-02,17:00,,,,https://www.songkick.com/concerts/41956855-nanowar-of-steel-at-garage-saarbrucken?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
10,,Rock Harz 2024, Germany,Harz,Ballenstedt, Germany,,,2024-07-03,17:00,,,,https://www.songkick.com/festivals/1357634-rock-harz/id/41375991-rock-harz-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
11,,Nanowar Of Steel at Batschkapp , Germany,Frankfurt,Frankfurt, Germany,,,2024-07-03,17:00,,,,https://www.songkick.com/concerts/41956864-nanowar-of-steel-at-batschkapp?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
12,,Nanowar Of Steel at Sommer am Kiez , Germany,Augsburg,Augsburg, Germany,,,2024-07-06,17:00,,,,https://www.songkick.com/concerts/41956872-nanowar-of-steel-at-sommer-am-kiez?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
13,,Nanowar Of Steel at LKA Longhorn , Germany,Stuttgart,Stuttgart, Germany,,,2024-07-07,17:00,,,,https://www.songkick.com/concerts/41956873-nanowar-of-steel-at-lka-longhorn?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
14,,Dong Open Air 2024, Germany,Neukirchen,Neukirchen, Germany,,,2024-07-11,17:00,,,,https://www.songkick.com/festivals/968549-dong-open-air/id/41724920-dong-open-air-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
15,,Bonsai Festival 2024, Italy,Bologna,Bologna, Italy,,,2024-07-11,17:00,,,,https://www.songkick.com/festivals/3368233-bonsai/id/41928769-bonsai-festival-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
16,,Rockstadt Extreme Fest 2024, Romania,Brașov County,Râșnov, Romania,,,2024-07-31,17:00,,,,https://www.songkick.com/festivals/1398629-rockstadt-extreme-fest/id/41346851-rockstadt-extreme-fest-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
17,,Metal for Emergency 2024, Italy,Bergamo,Filago, Italy,,,2024-08-03,17:00,,,,https://www.songkick.com/festivals/1311873-metal-for-emergency/id/41928763-metal-for-emergency-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
18,,Summerock Festival 2024, Italy,Fermo,Fermo, Italy,,,2024-08-31,17:00,,,,https://www.songkick.com/festivals/3668181-summerock/id/41948328-summerock-festival-2024?utm_source=60345&utm_medium=partner,,,,,,,,,,,,,,
