,Event name,Event date,Country,City,Address,Website,IATA,distances
0,Nanowar Of Steel at Le Secret Place ,2024-03-28, France,Montpellier,Montpellier,https://www.songkick.com/concerts/41623697-nanowar-of-steel-at-le-secret-place?utm_source=60345&utm_medium=partner,"['MPL', 'MRS', 'TLN']","[10, 111, 193]"
1,"Les Tambours du Bronx with Psykup, Klone, and Nanowar Of Steel at Le Bikini ",2024-03-29, France,Ramonville St Agne,Toulouse,https://www.songkick.com/concerts/41146439-les-tambours-du-bronx-at-le-bikini?utm_source=60345&utm_medium=partner,"['TLS', 'PUF', 'MPL']","[12, 154, 199]"
2,"Les Tambours du Bronx with Psykup, Klone, and Nanowar Of Steel at Le Transbordeur ",2024-03-30, France,Villeurbanne,Lyon,https://www.songkick.com/concerts/41146444-les-tambours-du-bronx-at-le-transbordeur?utm_source=60345&utm_medium=partner,"['LYS', 'GNB', 'CMF']","[18, 59, 80]"
3,"Les Tambours du Bronx with Psykup, Klone, and Nanowar Of Steel at Le Trianon ",2024-03-31, France,Paris,Paris,https://www.songkick.com/concerts/41146445-les-tambours-du-bronx-at-le-trianon?utm_source=60345&utm_medium=partner,"['CDG', 'BVA', 'LIL']","[21, 65, 195]"
4,Nanowar Of Steel at DVG Club ,2024-04-01, Belgium,Kortrijk,Kortrijk,https://www.songkick.com/concerts/41623698-nanowar-of-steel-at-dvg-club?utm_source=60345&utm_medium=partner,"['LIL', 'BRU', 'CRL']","[31, 85, 93]"
5,Nanowar Of Steel at O2 Academy Islington ,2024-04-02, UK,London,London,https://www.songkick.com/concerts/41623708-nanowar-of-steel-at-o2-academy-islington?utm_source=60345&utm_medium=partner,"['LTN', 'LGW', 'STN']","[42, 42, 45]"
6,Nanowar Of Steel at O2 Academy 3 Birmingham ,2024-04-03, UK,Birmingham,Birmingham,https://www.songkick.com/concerts/41623709-nanowar-of-steel-at-o2-academy-3-birmingham?utm_source=60345&utm_medium=partner,"['LPL', 'LTN', 'DSA']","[115, 123, 126]"
7,Nanowar Of Steel at Willem Twee Poppodium ,2024-04-16, Netherlands,'s Hertogenbosch,'s Hertogenbosch,https://www.songkick.com/concerts/41623710-nanowar-of-steel-at-willem-twee-poppodium?utm_source=60345&utm_medium=partner,"['EIN', 'NRN', 'RTM']","[27, 59, 65]"
8,"Nanowar Of Steel at Halle, Im Wizemann ",2024-04-17, Germany,Stuttgart,Stuttgart,https://www.songkick.com/concerts/41623712-nanowar-of-steel-at-halle-im-wizemann?utm_source=60345&utm_medium=partner,"['FMM', 'SXB', 'NUE']","[119, 119, 156]"
9,Nanowar Of Steel at F-Haus ,2024-04-18, Germany,Jena,Jena,https://www.songkick.com/concerts/41623699-nanowar-of-steel-at-fhaus?utm_source=60345&utm_medium=partner,"['ERF', 'LEJ', 'KLV']","[44, 71, 124]"
10,Nanowar Of Steel at Club Vaudeville ,2024-04-19, Germany,Lindau,Lindau,https://www.songkick.com/concerts/41623700-nanowar-of-steel-at-club-vaudeville?utm_source=60345&utm_medium=partner,"['FMM', 'BSL;MLH;EAP', 'MUC']","[62, 164, 177]"
11,Nanowar Of Steel at Hellraiser ,2024-04-20, Germany,Leipzig,Leipzig,https://www.songkick.com/concerts/41623701-nanowar-of-steel-at-hellraiser?utm_source=60345&utm_medium=partner,"['LEJ', 'DRS', 'ERF']","[17, 93, 112]"
12,Nanowar Of Steel at Unknown venue ,2024-04-21, Germany,Osnabrück,Osnabrück,https://www.songkick.com/concerts/41623719-nanowar-of-steel-at-unknown-venue?utm_source=60345&utm_medium=partner,"['BRE', 'HAM', 'GRQ']","[65, 110, 124]"
13,Nanowar Of Steel at HIRSCH ,2024-04-22, Germany,Nuremberg,Nuremberg,https://www.songkick.com/concerts/41623702-nanowar-of-steel-at-hirsch?utm_source=60345&utm_medium=partner,"['NUE', 'MUC', 'KLV']","[8, 130, 158]"
14,Nanowar Of Steel at FRANNZ Club ,2024-04-23, Germany,Berlin,Berlin,https://www.songkick.com/concerts/41623703-nanowar-of-steel-at-frannz-club?utm_source=60345&utm_medium=partner,"['LEJ', 'SZZ', 'DRS']","[148, 153, 158]"
15,Nanowar Of Steel at 2progi ,2024-04-24, Poland,Poznan,Poznan,https://www.songkick.com/concerts/41623704-nanowar-of-steel-at-2progi?utm_source=60345&utm_medium=partner,"['POZ', 'IEG', 'BZG']","[6, 82, 103]"
16,Nanowar Of Steel at Masters Of Rock Café ,2024-04-25, Czech Republic,Zlín,Zlín,https://www.songkick.com/concerts/41623711-nanowar-of-steel-at-masters-of-rock-cafe?utm_source=60345&utm_medium=partner,"['OSR', 'PZY', 'ILZ']","[61, 67, 68]"
17,Nanowar Of Steel at Barba Negra ,2024-04-26, Hungary,Budapest,Budapest,https://www.songkick.com/concerts/41623705-nanowar-of-steel-at-barba-negra?utm_source=60345&utm_medium=partner,"['SLD', 'PZY', 'BTS']","[130, 157, 157]"
18,Nanowar Of Steel at Szene Wien ,2024-04-27, Austria,Vienna,Vienna,https://www.songkick.com/concerts/41623706-nanowar-of-steel-at-szene-wien?utm_source=60345&utm_medium=partner,"['VIE', 'BTS', 'BRQ']","[13, 59, 110]"
19,Nanowar Of Steel at Rockhouse ,2024-04-28, Austria,Salzburg,Salzburg,https://www.songkick.com/concerts/41623707-nanowar-of-steel-at-rockhouse?utm_source=60345&utm_medium=partner,"['SZG', 'LNZ', 'MUC']","[4, 96, 112]"
20,Nanowar Of Steel at Hall ,2024-05-03, Italy,Padua,Padua,https://www.songkick.com/concerts/41232209-nanowar-of-steel-at-hall?utm_source=60345&utm_medium=partner,"['VRN', 'TRS', 'PMF']","[81, 127, 144]"
21,Nanowar Of Steel at Viper Theatre ,2024-05-04, Italy,Florence,Florence,https://www.songkick.com/concerts/41232208-nanowar-of-steel-at-viper-theatre?utm_source=60345&utm_medium=partner,"['PEG', 'PMF', 'AOI']","[132, 134, 176]"
22,Nanowar Of Steel at Urban Club ,2024-05-10, Italy,Perugia,Perugia,https://www.songkick.com/concerts/41574672-nanowar-of-steel-at-urban-club?utm_source=60345&utm_medium=partner,"['PEG', 'AOI', 'FCO']","[13, 101, 140]"
23,Nanowar Of Steel at Duel Beat ,2024-05-11, Italy,Naples,Naples,https://www.songkick.com/concerts/41232211-nanowar-of-steel-at-duel-beat?utm_source=60345&utm_medium=partner,"['NAP', 'CIA', 'FCO']","[7, 167, 191]"
24,Lowland Fest 2024,2024-06-26, Hungary,Hódmezővásárhely,Szeged,https://www.songkick.com/festivals/3409902-lowland-fest/id/41595416-lowland-fest-2024?utm_source=60345&utm_medium=partner,"['TSR', 'OMR', 'DEB']","[103, 137, 153]"
25,Festival Rock Pod Kameňom 2024,2024-06-29, Slovakia,Snina,Snina,https://www.songkick.com/festivals/664519-rock-pod-kamenom/id/41642406-festival-rock-pod-kameom-2024?utm_source=60345&utm_medium=partner,"['KSC', 'TAT', 'LWO']","[75, 139, 159]"
26,Dong Open Air 2024,2024-07-11, Germany,Neukirchen,Neukirchen,https://www.songkick.com/festivals/968549-dong-open-air/id/41724920-dong-open-air-2024?utm_source=60345&utm_medium=partner,"['DUS', 'NRN', 'DTM']","[22, 34, 71]"
27,Rockstadt Extreme Fest 2024,2024-07-31, Romania,Râșnov,Brașov County,https://www.songkick.com/festivals/1398629-rockstadt-extreme-fest/id/41346851-rockstadt-extreme-fest-2024?utm_source=60345&utm_medium=partner,"['SBZ', 'OTP', 'TGM']","[109, 123, 127]"
