,Event name,Event date,Country,City,Address,Website,IATA,distances
0,Mad With Power Fest 2025,2025-06-06,United States,United States,"The Sylvee, United States, United States",https://ticketmaster.evyy.net/c/219208/271177/4272?u=https%3A%2F%2Fwww.ticketmaster.com%2F2day-pass-mad-with-power-fest-madison-wisconsin-06-06-2025%2Fevent%2F07006237C48A357D%3Futm_content%3Dhotevent&utm_medium=affiliate,"['DEN', 'MCI', 'TUL']","[361, 494, 564]"
1,Nanowar en Mexico,2025-06-08,Mexico,Ciudad de México,"Circo Volador, Ciudad de México, Mexico",https://arema.mx/e/14582,"['GUA', 'AUS', 'IAH']","[1057, 1218, 1246]"
2,Nanowar of Steel en Costa Rica,2025-06-10,Costa Rica,Zapote,"Pepper Disco Club, Zapote, Costa Rica",https://www.digiticket.shop/,"[nan, 'PAC', 'SAL']","[548, 550, 619]"
3,Nanowar of Steel en Colombia,2025-06-11,Colombia,Bogotá,"Relevent Music Hall, Bogotá, Colombia",https://biciq.com/info-event/nanowar-of-steel-9fdce59b,"['BOG', 'AXM', 'MDE']","[8, 187, 224]"
4,Nanowar of Steel en Chile,2025-06-12,Chile,Ñuñoa,"Rock & Guitarras, Ñuñoa, Chile",https://coloso.net/event/nanowar-of-steel/,"['PMC', 'JUJ', 'PDU']","[915, 1140, 1174]"
5,Z! Live Rock Fest 2025,2025-06-14,Spain,Zamora,"Auditorio Ruta de la Plata, Zamora, Spain",,"['OVD', 'VGO', 'OPO']","[208, 230, 233]"
6,,2025-06-21,Italy,Segrate,"Circolo Magnolia, Segrate, Italy",https://www.ticketone.it/tickets.html?affiliate=IZX&fun=evdetail&doc=evdetailb&key=3816574$19724464&utm_source=IZX&utm_medium=dp&utm_campaign=awin%26awc=!!!awc!!!,"['LIN', 'BGY', 'MXP']","[5, 37, 46]"
7,Odyssea Festival,2025-06-28,Romania,Mangalia,"Venus beach, Mangalia, Romania",https://odysseafestival.com/bilete/,"['CND', 'BOJ', 'BBU']","[61, 163, 211]"
8,,2025-07-10,Italy,Roma,"Ippodromo Capannelle, Roma, Italy",https://www.ticketone.it/tickets.html?affiliate=IZX&fun=evdetail&doc=evdetailb&key=3816574$19723336&utm_source=IZX&utm_medium=dp&utm_campaign=awin%26awc=!!!awc!!!,"['CIA', 'FCO', 'PEG']","[13, 21, 134]"
9,Syklak Open Air,2025-08-01,France,Saint-Maurice-de-Gourdans,"Saint maurice de gourdans, Saint-Maurice-de-Gourdans, France",https://sylak.seetickets.com/promoter/sylak-open-air/5640,"['LYS', 'GNB', 'CMF']","[13, 52, 57]"
10,Rock The Lakes 2025,2025-08-15,Switzerland,Cudrefin,"Rock The Lakes, Cudrefin, Switzerland",,"['BSL;MLH;EAP', 'GVA', 'CMF']","[81, 105, 170]"
