Geo Point;Name;Name (en);Name (fr);IATA code;ICAO code;Wikipedia id;Wikidata id;Website;Phone;Operator;Description;Edit in OSM;Source;other_tags;Country;Country code
0.044802,32.4429895;Entebbe International Airport;Entebbe International Airport;;EBB;HUEN;fr:Aéroport international d'Entebbe;Q586065;https://www.entebbe-airport.com/;;Civil Aviation Authority of Uganda;;https://www.openstreetmap.org/edit?node=26608719;;"{""aerodrome"": ""international"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Entebbe"", ""ele"": ""1153"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no""}";Uganda;UG
6.9353952,100.3937098;ท่าอากาศยานนานาชาติหาดใหญ่;Hat Yai International Airport;;HDY;VTSS;en:Hat Yai International Airport;Q912583;;;Airports of Thailand;;https://www.openstreetmap.org/edit?node=297329780;wikipedia;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""ele"": ""27"", ""name:th"": ""\u0e17\u0e48\u0e32\u0e2d\u0e32\u0e01\u0e32\u0e28\u0e22\u0e32\u0e19\u0e19\u0e32\u0e19\u0e32\u0e0a\u0e32\u0e15\u0e34\u0e2b\u0e32\u0e14\u0e43\u0e2b\u0e0d\u0e48"", ""passengers"": ""1869000""}";Thailand;TH
32.286877,-106.922085;Las Cruces International Airport;Las Cruces International Airport;;LRU;KLRU;en:Las Cruces International Airport;Q6492168;;;City of Las Cruces;;https://www.openstreetmap.org/edit?node=308340153;;"{""addr:state"": ""NM"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""ele"": ""1357"", ""gnis:county_name"": ""Dona Ana"", ""gnis:created"": ""09/01/1991"", ""gnis:feature_id"": ""936972"", ""gnis:feature_type"": ""Airport"", ""name:es"": ""Aeropuerto Internacional de Las Cruces"", ""name:ur"": ""\u0644\u0627\u0633 \u06a9\u0631\u0648\u0633\u0633 \u0627\u0646\u0679\u0631\u0646\u06cc\u0634\u0646\u0644 \u06c1\u0648\u0627\u0626\u06cc \u0627\u0688\u0627"", ""operator:es"": ""Ciudad de Las Cruces"", ""operator:type"": ""public"", ""source_ref"": ""geonames.usgs.gov""}";United States of America;US
8.7206583,167.7315599;Bucholz Army Airfield;;;KWA;PKWA;en:Bucholz Army Airfield;Q3886454;;;United States Army;;https://www.openstreetmap.org/edit?node=368378996;wikipedia;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Kwajalein"", ""ele"": ""4"", ""faa"": ""KWA"", ""gnis:county_name"": ""Kwajalein"", ""gnis:created"": ""08/01/1994"", ""gnis:feature_id"": ""1396125"", ""gnis:feature_type"": ""Airport"", ""landuse"": ""military"", ""military"": ""airfield""}";;
34.2705,-77.9025;Wilmington International Airport;Wilmington International Airport;;ILM;KILM;en:Wilmington International Airport;Q847779;;;New Hanover County;;https://www.openstreetmap.org/edit?node=369028052;wikipedia;"{""addr:state"": ""NC"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name"": ""New Hanover County Airport"", ""closest_town"": ""Wilmington, North Carolina"", ""ele"": ""9"", ""faa"": ""ILM"", ""gnis:county_name"": ""New Hanover"", ""gnis:created"": ""01/01/2000"", ""gnis:feature_id"": ""997847"", ""gnis:feature_type"": ""Airport"", ""operator:type"": ""public"", ""type"": ""public""}";United States of America;US
54.4397,30.2976;Балбасава;Bałbasovo;;TXC;UMIO;en:Balbasovo;Q24635004;;;Belarus Air Force;;https://www.openstreetmap.org/edit?node=412851758;wikipedia;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name"": ""\u041e\u0440\u0448\u0430"", ""alt_name:en"": ""Orsha"", ""alt_name:ru"": ""\u041e\u0440\u0448\u0430"", ""ele"": ""189"", ""loc_ref"": ""\u0423\u041c\u0418\u041e"", ""name:be"": ""\u0411\u0430\u043b\u0431\u0430\u0441\u0430\u0432\u0430"", ""name:be-tarask"": ""\u0411\u0430\u043b\u0431\u0430\u0441\u0430\u0432\u0430"", ""name:pl"": ""Bo\u0142basowo"", ""name:ru"": ""\u0411\u043e\u043b\u0431\u0430\u0441\u043e\u0432\u043e"", ""start_date"": ""1936"", ""was:aerodrome:type"": ""military"", ""was:landuse"": ""military"", ""was:military"": ""airfield""}";Belarus;BY
35.9593049,-89.9499611;Arkansas International Airport;;;BYH;KBYH;en:Arkansas International Airport;Q4387053;;;;;https://www.openstreetmap.org/edit?node=1042045621;ourairports.com;"{""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome""}";United States of America;US
53.0971349,17.9787716;Port Lotniczy Bydgoszcz-Szwederowo;Airport Bydgoszcz - Szwederowo;;BZG;EPBY;pl:Port lotniczy Bydgoszcz-Szwederowo;Q1407275;;;Port Lotniczy Bydgoszcz S.A. im. Ignacego Jana Paderewskiego;;https://www.openstreetmap.org/edit?node=5004330;wikipedia;"{""aerodrome"": ""international"", ""aerodrome:type"": ""public"", ""aeroway"": ""aerodrome"", ""ele"": ""72"", ""name:ru"": ""\u041c\u0435\u0436\u0434\u0443\u043d\u0430\u0440\u043e\u0434\u043d\u044b\u0439 \u0430\u044d\u0440\u043e\u043f\u043e\u0440\u0442 \u0411\u044b\u0434\u0433\u043e\u0449\u0430 \u0438\u043c\u0435\u043d\u0438 \u0418\u0433\u043d\u0430\u0442\u0438\u044f \u042f\u043d\u0430 \u041f\u0430\u0434\u0435\u0440\u0435\u0432\u0441\u043a\u043e\u0433\u043e"", ""name:uk"": ""\u041c\u0456\u0436\u043d\u0430\u0440\u043e\u0434\u043d\u0438\u0439 \u0430\u0435\u0440\u043e\u043f\u043e\u0440\u0442 \u0411\u0438\u0434\u0433\u043e\u0449\u0430 \u0456\u043c\u0435\u043d\u0456 \u0406\u0433\u043d\u0430\u0446\u0456\u044f \u042f\u043d\u0430 \u041f\u0430\u0434\u0435\u0440\u0435\u0432\u0441\u044c\u043a\u043e\u0433\u043e"", ""source_ref"": ""landsat""}";Poland;PL
53.1207697,6.5753819;Groningen Airport Eelde;Groningen Airport Eelde;;GRQ;EHGG;nl:Groningen Airport Eelde;Q769099;;;Groningen Airport Eelde NV;;https://www.openstreetmap.org/edit?node=6344408;"wikipedia;Bing;estimate (na baanverlenging)";"{""aerodrome"": ""international"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""closest_town"": ""Groningen"", ""ele"": ""5""}";Netherlands;NL
55.609274,12.6379309;Københavns Lufthavn;Copenhagen Airport;Aéroport de Copenhague;CPH;EKCH;da:Københavns Lufthavn;Q206277;https://www.cph.dk/;;Københavns Lufthavne A/S;;https://www.openstreetmap.org/edit?node=12786040;;"{""aerodrome"": ""international"", ""aerodrome:type"": ""international"", ""aeroway"": ""aerodrome"", ""alt_name"": ""Kastrup Airport;CPH"", ""alt_name:da"": ""Kastrup Lufthavn"", ""barrier"": ""fence"", ""city_served"": ""Copenhagen"", ""ele"": ""5"", ""int_name"": ""Copenhagen Airport"", ""name:ar"": ""\u0645\u0637\u0627\u0631 \u0643\u0648\u0628\u0646\u0647\u0627\u063a\u0646"", ""name:ca"": ""Aeroport de Copenhaguen"", ""name:cs"": ""Leti\u0161t\u011b Koda\u0148"", ""name:de"": ""Flughafen Kopenhagen-Kastrup"", ""name:es"": ""Aeropuerto de Copenhague-Kastrup"", ""name:et"": ""Kopenhaageni lennujaam"", ""name:eu"": ""Kopenhageko aireportua"", ""name:fa"": ""\u0641\u0631\u0648\u062f\u06af\u0627\u0647 \u06a9\u067e\u0646\u0647\u0627\u06af"", ""name:fi"": ""K\u00f6\u00f6penhaminan lentoasema"", ""name:fo"": ""Kastrup Flogv\u00f8llur"", ""name:he"": ""\u05e0\u05de\u05dc \u05d4\u05ea\u05e2\u05d5\u05e4\u05d4 \u05e7\u05d5\u05e4\u05e0\u05d4\u05d2\u05df \u05e7\u05e1\u05d8\u05e8\u05d5\u05e4"", ""name:hi"": ""\u0915\u094b\u092a\u0928\u0939\u0947\u0917\u0928 \u0935\u093f\u092e\u093e\u0928\u0915\u094d\u0937\u0947\u0924\u094d\u0930"", ""name:hu"": ""Koppenh\u00e1gai rep\u00fcl\u0151t\u00e9r"", ""name:id"": ""Bandar Udara Kopenhagen"", ""name:is"": ""Kastrupflugv\u00f6llur"", ""name:it"": ""Aeroporto di Copenaghen"", ""name:ja"": ""\u30b3\u30da\u30f3\u30cf\u30fc\u30b2\u30f3\u56fd\u969b\u7a7a\u6e2f"", ""name:ko"": ""\ucf54\ud39c\ud558\uac90 \uacf5\ud56d"", ""name:lt"": ""Kopenhagos oro uostas"", ""name:mk"": ""\u0410\u0435\u0440\u043e\u0434\u0440\u043e\u043c \u041a\u043e\u043f\u0435\u043d\u0445\u0430\u0433\u0435\u043d"", ""name:ms"": ""Lapangan Terbang Kastrup"", ""name:nl"": ""Luchthaven van Kopenhagen"", ""name:nn"": ""K\u00f8benhavns Lufthavn, Kastrup"", ""name:no"": ""K\u00f8benhavns lufthavn"", ""name:pl"": ""Port lotniczy Kopenhaga-Kastrup"", ""name:pt"": ""Aeroporto de Copenhaga"", ""name:ro"": ""Aeroportul Copenhaga"", ""name:ru"": ""\u041a\u0430\u0441\u0442\u0440\u0443\u043f (\u0430\u044d\u0440\u043e\u043f\u043e\u0440\u0442)"", ""name:sk"": ""Kodansk\u00e9 letisko"", ""name:sq"": ""Aeroporti i Kastrupit"", ""name:sr"": ""\u0410\u0435\u0440\u043e\u0434\u0440\u043e\u043c \u041a\u043e\u043f\u0435\u043d\u0445\u0430\u0433\u0435\u043d"", ""name:sv"": ""Kastrups flygplats"", ""name:th"": ""\u0e17\u0e48\u0e32\u0e2d\u0e32\u0e01\u0e32\u0e28\u0e22\u0e32\u0e19\u0e42\u0e04\u0e40\u0e1b\u0e19\u0e40\u0e2e\u0e40\u0e01\u0e19"", ""name:tr"": ""Kopenhag Havaliman\u0131"", ""name:vi"": ""S\u00e2n bay Copenhagen"", ""name:zh"": ""\u54e5\u672c\u54c8\u6839\u51ef\u65af\u695a\u666e\u673a\u573a"", ""owner"": ""K\u00f8benhavns Lufthavne"", ""wheelchair"": ""yes""}";Denmark;DK
