Date,Venue,City
2023-03-30,PARTENZA,"Roma, Italy"
2023-03-31,Geiselwind Festival,"Geiselwind, Germany"
2023-04-01,Musigburg ,"Aarburg,  Switzerland"
2023-04-02,Backstage ,"Munich,  Germany"
2023-04-03,Viper Room ,"Vienna,  Austria"
2023-04-04,Analog Music Hall ,"Budapest,  Hungary"
2023-04-05,Zaścianek ,"Krakow,  Poland"
2023-04-06,Hydrozagadka ,"Warsaw,  Poland"
2023-04-07,DAY OFF,"Berlin,  Germany"
2023-04-08,Cafe Glocksee ,"Hannover,  Germany"
2023-04-09,Logo ,"Hamburg,  Germany"
2023-04-10,Stengade ,"Copenhagen,  Denmark"
2023-04-11,DAY OFF,"Bremen,  Germany"
2023-04-12,Baroeg ,"Rotterdam,  Netherlands"
2023-04-13,Nachtleben ,"Frankfurt,  Germany"
2023-04-14,Turock ,"Essen,  Germany"
2023-04-15,Mergener Hof ,"Trier,  Germany"
2023-04-16,DEN DREEF ,"Vorselaar,  Belgium"
2023-04-17,DAY OFF,"Bruxelles,  Belgium"
2023-04-18,DAY OFF,"Bruxelles,  Belgium"
2023-04-19,DAY OFF,"London,  England, United Kingdom"
2023-04-20,The Welly Club ,"Hull,  England, United Kingdom"
2023-04-21,The venue ,"Carlisle,  England, United Kingdom"
2023-04-22,Cathouse Nightclub ,"Glasgow,  England, United Kingdom"
2023-04-23,O2 Academy Sheffield ,"Sheffield,  England, United Kingdom"
2023-04-24,Think Tank? ,"Newcastle Upon Tyne,  England, United Kingdom"
2023-04-25,O2 Academy Liverpool ,"Liverpool,  England, United Kingdom"
2023-04-26,Unknown venue ,"Birmingham,  England, United Kingdom"
2023-04-27,O2 Academy2 Islington ,"London,  England, United Kingdom"
2023-04-29,Thekla ,"Bristol,  England, United Kingdom"
2023-04-30,Patterns ,"Brighton,  England, United Kingdom"
2023-05-01,DAY OFF ,"Caen,  France"
2023-05-02,Le Ferrailieur ,"Nantes,  France"
2023-05-03,Petit Bain ,"Paris,  France"
2023-05-04,Connexion Live ,"Toulouse,  France"
2023-05-05,Sala Bóveda ,"Barcelona,  Spain"
2023-05-06,Revi Live ,"Madrid,  Spain"
2023-05-07,RCA Club ,"Lisbon,  Portugal"
2023-05-08,Garaje Beat Club ,"Murcia,  Spain"
2023-05-09,Peter Rock ,"Valencia,  Spain"
2023-05-10,Sala Groove ,"Portugalete,  Spain"
2023-05-11,Rock N’eat ,"Lyon,  France"
2023-05-12,DAY OFF,"Milan,  Italy"
2023-05-13,Adunata,"Trezzo sull'Adda, Italy"
2023-05-13,RIENTRO,"Roma, Italy"
