Unnamed: 0,Event name,Event date,Country,City
5,5,Musigburg,2023-04-01,Switzerland,Aarburg
6,6,Backstage,2023-04-02,Germany,Munich
7,7,Viper Room,2023-04-03,Austria,Vienna
8,8,Analog Music Hall,2023-04-04,Hungary,Budapest
9,9,Zaścianek,2023-04-05,Poland,Krakow
10,10,Hydrozagadka,2023-04-06,Poland,Warsaw
10,10,DAY OFF,2023-04-07,Germany,Berlin
11,11,Cafe Glocksee,2023-04-08,Germany,Hannover
12,12,Logo,2023-04-09,Germany,Hamburg
13,13,Stengade,2023-04-10,Denmark,Copenhagen
13,13,DAY OFF,2023-04-10,Germany,Bremen
14,14,Baroeg,2023-04-12,Netherlands,Rotterdam
15,15,Nachtleben,2023-04-13,Germany,Frankfurt
16,16,Turock,2023-04-14,Germany,Essen
17,17,Mergener Hof,2023-04-15,Germany,Trier
18,18,DEN DREEF,2023-04-16,Belgium,Vorselaar
18,18,DEN DREEF,2023-04-16,Belgium,Vorselaar
18,18,DEN DREEF,2023-04-16,Belgium,Vorselaar
18,18,DEN DREEF,2023-04-16,Belgium,Vorselaar
18,18,DEN DREEF,2023-04-16,Belgium,Vorselaar
19,19,Le Ferrailieur,2023-05-02,France,Nantes
20,20,Petit Bain,2023-05-03,France,Paris
21,21,Connexion Live,2023-05-04,France,Toulouse
22,22,Sala Bóveda,2023-05-05,Spain,Barcelona
23,23,Revi Live,2023-05-06,Spain,Madrid
24,24,RCA Club,2023-05-07,Portugal,Lisbon
25,25,Garaje Beat Club,2023-05-08,Spain,Murcia
26,26,Peter Rock,2023-05-09,Spain,Valencia
27,27,Sala Groove,2023-05-10,Spain,Portugalete
28,28,Rock N’eat,2023-05-11,France,Lyon
