,Date,Day Type,Day Title,Location 1 Type,Location 1,Location 2 Type,Location 2
0,2024-09-27,OFF,DAY OFF/TRAVEL,OFF,DAY OFF New York (NYC)  Long Island  US,HOTEL,East Norwich Inn
1,2024-09-28,VENUE,SHOW DAY,VENUE,Baltimore Soundstage  Baltimore Baltimore  US,HOTEL,Red Roof Inn & Suites Stafford
2,2024-09-29,VENUE,SHOW DAY,VENUE,Hangar 1819  Greensboro Greensboro  US,HOTEL,Days Inn by Windham Greensboro NC
3,2024-09-30,VENUE,SHOW DAY,VENUE,The Masquerade - Altar  Atlanta Atlanta  US,HOTEL,Quality Inn Stockbridge Atlanta South
4,2024-10-01,VENUE,SHOW DAY,VENUE,The Conduit  Orlando Orlando  US,HOTEL,Main Stay Suites East Norwich InnOrlando Altamonte Springs
5,2024-10-02,OFF,DAY OFF/TRAVEL,OFF,DAY OFF Orlando Fayetteville NC  US,HOTEL,Days Inn by Wyndham Fayetteville South l Exit 49
6,2024-10-03,VENUE,SHOW DAY,VENUE,The Canal Club  Richmond Richmond  US,HOTEL,HomeTowne tudios By Red Roof Richmond Airport Sandston
7,2024-10-04,VENUE,SHOW DAY,VENUE,Warehouse on Watts  Philadelphia Philadelphia  US,HOTEL,Philadelphia Suites at Airport Extended Stay Hotel
8,2024-10-05,OFF,DAY OFF/TRAVEL,OFF,DAY OFF  Maumee Ohio Maumee OH  US,HOTEL,Estended Stay America Suites Toledo Maumee
9,2024-10-06,VENUE,SHOW DAY,VENUE,The WC Social Club  Chicago Chicago  US,HOTEL,Motel 6 Naperville IL
10,2024-10-07,VENUE,SHOW DAY,VENUE,Black Circle Brewing  Indianapolis Indianapolis  US,HOTEL,"Motel 6 Fishers In, Indianapolis"
11,2024-10-08,VENUE,SHOW DAY,VENUE,The Foundry Concert Club  Cleveland Lakewood  US,HOTEL,Motel 6 Middleburg Heights OH Cleveland
12,2024-10-09,VENUE,SHOW DAY,VENUE,Crafthouse Stage & Grill  Pittsburgh Pittsburgh  US,HOTEL,Super 8 by Wyndham Grove City
13,2024-10-10,VENUE,SHOW DAY,VENUE,Lee's Palace  Toronto Toronto  Canada,HOTEL,Comfort Inn Port Hope
14,2024-10-11,VENUE,SHOW DAY,VENUE,Piranha Bar  Montreal Montreal  Canada,HOTEL,Americas Best Value Inn Plattsburgh
15,2024-10-12,VENUE,SHOW DAY,VENUE,Brooklyn Bowl  New York (NYC) Brooklyn  US,HOTEL,East Norwich Inn
