,Date,Venue,City,Distance to next city,Duration to next city
0,2023-04-15,Mergener Hof ,"Trier,  Germany",253,2h : 49 min
1,2023-04-16,DEN DREEF ,"Vorselaar,  Belgium",82,1h : 08 min
2,2023-04-17,DAY OFF,"Bruxelles,  Belgium",0,0h : 0 min
3,2023-04-18,DAY OFF,"Bruxelles,  Belgium",371,4h : 43 min
4,2023-04-19,DAY OFF,"London,   England, United Kingdom",300,3h : 44 min
5,2023-04-20,The Welly Club ,"Hull,   England, United Kingdom",274,3h : 00 min
6,2023-04-21,The venue ,"Carlisle,   England, United Kingdom",81,0h : 56 min
7,2023-04-22,Cathouse Nightclub ,"Glasgow,   England, United Kingdom",179,1h : 57 min
8,2023-04-23,O2 Academy Sheffield ,"Sheffield,England, United Kingdom",215,2h : 24 min
9,2023-04-24,Think Tank? ,"Newcastle Upon Tyne,England, United Kingdom",280,3h : 05 min
10,2023-04-25,O2 Academy Liverpool ,"Liverpool, England, United Kingdom",160,1h : 49 min
11,2023-04-26,Unknown venue ,"Birmingham,   England, United Kingdom",190,2h : 20 min
12,2023-04-27,O2 Academy2 Islington ,"London,   England, United Kingdom",189,2h : 15 min
13,2023-04-29,Thekla ,"Bristol,   England, United Kingdom",256,2h : 54 min
14,2023-04-30,Patterns ,"Brighton,   England, United Kingdom",551,5h : 57 min
15,2023-05-01,DAY OFF ,"Caen,  France",293,3h : 06 min
16,2023-05-02,Le Ferrailieur ,"Nantes,  France",383,4h : 00 min
17,2023-05-03,Petit Bain ,"Paris,  France",675,6h : 33 min
18,2023-05-04,Connexion Live ,"Toulouse,  France",395,3h : 58 min
19,2023-05-05,Sala Bóveda ,"Barcelona,  Spain",623,6h : 17 min
20,2023-05-06,Revi Live ,"Madrid,  Spain",624,6h : 05 min
21,2023-05-07,RCA Club ,"Lisbon,  Portugal",889,9h : 07 min
22,2023-05-08,Garaje Beat Club ,"Murcia,  Spain",217,2h : 18 min
23,2023-05-09,Peter Rock ,"Valencia,  Spain",624,6h : 17 min
24,2023-05-10,Sala Groove ,"Portugalete,  Spain",893,8h : 42 min
25,2023-05-11,Rock N’eat ,"Lyon,  France",0,0h : 0 min
26,2023-05-12,DAY OFF,"Lyon,  France",466,5h : 07 min
27,2023-05-13,Adunata,"Trezzo sull'Adda, Italy",595,5h : 43 min
28,2023-05-13,RIENTRO,"Roma, Italy",0,0
